code;project_name;project_short_name;feature_name;feature_shotr_name;type;unit;unit_code;datasource_name;base_vallue;plan_2018;fact_2018;period_2018;plan_2019;fact_2019;period_2019;plan_2020;fact_2020;period_2020;plan_2021;fact_2021;period_2021;plan_2022;fact_2022;period_2022;plan_2023;fact_2023;period_2023;plan_2024;fact_2024;period_2024
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);Культурная среда;Увеличение к 2024 году количества посещений организаций культуры путем создания современной инфраструктуры для творческой самореализации и досуга населения.;Увеличение к 2024 году количества посещений организаций культуры;Цель;;;;;;;;;;;;;;;;;;;;;;;;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);Культурная среда;Количество организаций культуры, получивших современное оборудование (ед.) (нарастающим итогом);Количество организаций культуры, получивших современное оборудование;Основной показатель;Единица;642;;789.0;789.0;789.0;;2399.0;2523.0;;3109.0;;;3819.0;;;4529.0;;;5239.0;;;5949.0;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);Культурная среда;Количество созданных (реконструированных) и капитально отремонтированных объектов организации культуры (ед.) (нарастающим итогом);Количество созданных и капитально отремонтированных объектов организации культуры;Основной показатель;Единица;642;;721.0;721.0;721.0;;723.0;1165.0;;838.0;;;950.0;;;1075.0;;;1207.0;;;1330.0;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);Культурная среда;Доля граждан Российской Федерации, удовлетворенных качеством предоставления услуг в сфере культуры (%) (нарастающим итогом);Доля граждан РФ, удовлетворенных качеством услуг в сфере культуры;Дополнительный показатель;Процент;744;ФСО ;0.0;0.0;0.0;;0.0;49.4;;0.0;;;0.0;;;0.0;;;0.0;;;0.0;;
A2;Создание условий для реализации творческого потенциала нации («Творческие люди»);«Творческие люди»;Увеличение к 2024 году количества граждан, вовлеченных в культурную деятельность путем поддержки;Увеличение к 2024 году количества граждан, вовлеченных в культурную деятельность;Цель;;;;;;;;;;;;;;;;;;;;;;;;;
A2;Создание условий для реализации творческого потенциала нации («Творческие люди»);«Творческие люди»;Количество специалистов, прошедших повышение квалификации на базе Центров непрерывного образования (нарастающим итогом) (тыс.ед);Количество специалистов, прошедших повышение квалификации на базе Центров непрерывного образования;Основной показатель;Единица;642;;0.0;0.0;0.0;;14.0;14.0;;40.0;;;80.0;;;120.0;;;160.0;;;200.0;;
A2;Создание условий для реализации творческого потенциала нации («Творческие люди»);«Творческие люди»;Количество любительских творческих коллективов, получивших грантовую поддержку (ед.) (нарастающим итогом);Количество творческих коллективов, получивших грантовую поддержку;Основной показатель;Единица;642;;0.0;0.0;0.0;;20.0;20.0;;40.0;;;60.0;;;80.0;;;100.0;;;120.0;;
A2;Создание условий для реализации творческого потенциала нации («Творческие люди»);«Творческие люди»;Количество волонтеров, вовлеченных в программу «Волонтеры культуры» (чел.) (нарастающим итогом);Количество волонтеров, вовлеченных в программу «Волонтеры культуры»;Дополнительный показатель;Единица;642;;0.0;0.0;0.0;;10000.0;42690.0;;25000.0;;;40000.0;;;60000.0;;;80000.0;;;100000.0;;
A2;Создание условий для реализации творческого потенциала нации («Творческие люди»);«Творческие люди»;Доля граждан Российской Федерации, удовлетворенных условиями для занятия творчеством в сфере культуры (%) (нарастающим итогом);Доля граждан РФ, удовлетворенных условиями для занятия творчеством;Дополнительный показатель;Процент;744;;0.0;0.0;0.0;;0.0;43.3;;0.0;;;0.0;;;0.0;;;0.0;;;0.0;;
A3;Цифровизация услуг и формирование информационного пространства в сфере культуры («Цифровая культура»);«Цифровая культура»;Увеличение числа обращений  к цифровым ресурсам  в сфере культуры в 5 раз  (млн. обращений в год);Увеличение числа обращений  к цифровым ресурсам  в сфере культуры;Цель;;;;;;;;;;;;;;;;;;;;;;;;;
A3;Цифровизация услуг и формирование информационного пространства в сфере культуры («Цифровая культура»);«Цифровая культура»;Количество созданных виртуальных концертных залов (нарастающим итогом) (ед.);Количество созданных виртуальных концертных залов;Основной показатель;Единица;642;;323.0;323.0;323.0;;403.0;403.0;;483.0;;;563.0;;;643.0;;;723.0;;;823.0;;
A3;Цифровизация услуг и формирование информационного пространства в сфере культуры («Цифровая культура»);«Цифровая культура»;Охват молодежной аудитории контентом, направленным на укрепление гражданской идентичности и духовно-нравственных ценностей (ед.);Охват молодежной аудитории контентом, направленным на укрепление гражданской идентичности и духовно-нравственных ценностей;Основной показатель;Единица;642;;0.0;0.0;0.0;;251.0;547.0;;623.0;;;995.0;;;1367.0;;;1739.0;;;2110.0;;
A3;Цифровизация услуг и формирование информационного пространства в сфере культуры («Цифровая культура»);«Цифровая культура»;Количество выставочных проектов, снабженных цифровыми гидами в формате дополненной реальности (нарастающим итогом) (ед.);Количество выставочных проектов, снабженных цифровыми гидами в формате дополненной реальности;Основной показатель;Единица;642;;100.0;100.0;100.0;;175.0;178.0;;250.0;;;325.0;;;400.0;;;475.0;;;550.0;;
