Код проекта;Наименование ФП;Наименование источника;2018_План;2018_Факт;2018_Период;2019_План;2019_Факт;2019_Период;2020_План;2020_Факт;2020_Период;2021_План;2021_Факт;2021_Период;2022_План;2022_Факт;2022_Период;2023_План;2023_Факт;2023_Период;2024_План;2024_Факт;2024_Период
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);федеральный бюджет;;;;8981818.1900;;;10396269.6100;;;13182193.0000;;;16390011.1000;;;16810500.0000;;;15754300.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);федеральному бюджету РФ;;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);местным бюджетам РФ;;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);межбюджетные трансферты, федеральный бюджет;;;;0.0000;;;7212269.6100;;;7872193.0000;;;10266012.9000;;;10700500.0000;;;10111500.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);консолидированные бюджеты субъектов РФ;;;;7435415.4900;;;7741951.4100;;;8375623.9000;;;10856912.9000;;;11357000.0000;;;10736500.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);иным бюджетам субъектов РФ;;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);всего по фед. проекту;;;;16417233.6800;;;10925951.4100;;;13685623.9000;;;16980911.1000;;;17467000.0000;;;16379300.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);внебюджетные источники;;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);бюджеты территориальных государственных внебюджетных фондов (бюджеты ТФОМС);;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);бюджеты государственных внебюджетных фондов РФ;;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);бюджету Фонда социального страхования РФ;;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);бюджету Фонда социального страхования Российской Федерации;;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);бюджету Федерального фонда обязательного медицинского страхования;;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);бюджету Пенсионного фонда Российской Федерации;;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);бюджету Пенсионнного фонда РФ;;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;
A1;Обеспечение качественно нового уровня развития инфраструктуры культуры («Культурная среда»);бюджетам территориальных государственных внебюджетных фондов РФ (бюджетам ТФОМС);;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;;0.0000;;
